Name,Address,Href,Description,Phone Number,Bare Metal,IaaS,Internet Exchange,Colocation_x,Products,Airplane,Building,Colocation_y,Power,Abbreviation,Summary,Country
Ottawa 1 Data Center,"390 March Road, Kanata, ON, Canada",/cologix-mtl6-montreal,"Cologix MTL6 Montreal Data Center is located at 2341 Boulevard Alfred Nobel, Montréal, Saint-Laurent, QC, Canada. The data center is 6000 sqft. There is a total of 6000 sqft in raised floor space for colocation. No power information has been offered for this location. We found 50 data center locations within 50 miles of this facility. Certifications for this location include PCI DSS.",+1 833-544-2200,Inactive,Active,Active,Active,0 colocation products,254.77 miles to nearest airport,6000 sqft total space,6000 sqft colocation space,,['PCI DSS'],['The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.'],Canada
1 Yonge St Toronto Data Center,"1 Yonge Street, Toronto, ON, Canada",/megaport-root-mtl-r2,"Megaport Root Data Center - MTL R2 Data Center is located at 19701 Rue Clark, Montreal, QC, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 50 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 877-857-4410,Inactive,Inactive,Inactive,Active,0 colocation products,256.63 miles to nearest airport,,,,[nan],[nan],Canada
MTL3 Montreal Data Center,"1250 René-Lévesque Boulevard West, Montreal, QC, Canada",/estruxture-tor-5-toronto,"eStruxture TOR-5 Toronto Data Center is located at 612 Welham Road, Barrie, ON, Canada. The data center is 60000 sqft. The gross colocation space is not available for this data center. It has access to 10.0 MW of power. We found 81 data center locations within 50 miles of this facility. Certifications for this location include ISO 27001, PCI DSS, SOC 2 Type 2.",+1 844-366-1200,Inactive,Inactive,Active,Active,0 colocation products,,60000 sqft total space,,10.0 MW total power,"['ISO 27001', 'PCI DSS', 'SOC 2 Type 2']","[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
MTL4 Montreal Data Center,"7171 Jean Talon Street East, Anjou, QC, Canada",/kyndryl-canada,"Kyndryl Canada Data Center is located at 3600 Steeles Ave E, Markham, Ontario L3R 9Z7, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 96 data center locations within 50 miles of this facility. Certifications for this location include ISO 27001, SOC 2.",+1 833-476-4400,Inactive,Inactive,Active,Inactive,0 colocation products,17.54 miles to nearest airport,,,,"['ISO 27001', 'SOC 2']","[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'SOC 2 is an auditing procedure that ensures your service providers securely manage your data to protect the interests of your organization and the privacy of its clients.']",Canada
Mississauga Data Center,"Mississauga, ON, Canada",/estruxture-mtl-4-montreal,"eStruxture MTL-4 Montreal Data Center is located at 17500 Trans-Canada Highway, Kirkland, QC, Canada. The data center is 103000 sqft. The gross colocation space is not available for this data center. It has access to 16.0 MW of power. We found 50 data center locations within 50 miles of this facility. Certifications for this location include ISO 27001, PCI DSS, SOC 2 Type 2.",+1 844-366-1200,Inactive,Inactive,Active,Active,0 colocation products,,103000 sqft total space,,16.0 MW total power,"['ISO 27001', 'PCI DSS', 'SOC 2 Type 2']","[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
AWS YUL - Lionel-Boulet Campus,"1790 Boulevard Lionel-Boulet, Varennes, QC J3X 1P7, Canada",/amanah-tech-inc-151-front-st-toronto,"Amanah Tech Inc. 151 Front St Toronto Data Center is located at 151 Front St W, Toronto, ON, Canada. The data center is 277744 sqft. There is a total of 3993 sqft in raised floor space for colocation. No power information has been offered for this location. We found 98 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 844-366-1200,Active,Inactive,Inactive,Active,0 colocation products,,277744 sqft total space,3993 sqft colocation space,,[nan],[nan],Canada
Richmond Hill DC3 Data Center,"95 Via Renzo Drive, Richmond Hill, ON L4S 0B4, Canada",/oracle-canada-southeast-ca-toronto-1,"Oracle Canada Southeast ca-toronto-1 is located at Toronto, ON, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 98 data center locations within 50 miles of this facility. Certifications for this location include FedRAMP, FIPS-140, HIPAA, HITRUST CSF, ISO 27001, ISO 9001, ISO/IEC 20000, PCI DSS, SOC 1, SOC 2, SOC 3.",+1 833-456-7700,Inactive,Active,Inactive,Inactive,0 colocation products,224.32 miles to nearest airport,,,,"['FedRAMP', 'FIPS-140', 'HIPAA', 'HITRUST CSF', 'ISO 27001', 'ISO 9001', 'ISO/IEC 20000', 'PCI DSS', 'SOC 1', 'SOC 2', 'SOC 3']","['The Federal Risk and Authorization Management Program (FedRAMP) is a government-wide program that provides a standardized approach to security assessment, authorization, and continuous monitoring for cloud products and services.', 'This Federal Information Processing Standard (140-2) specifies the security requirements that will be satisfied by a cryptographic module, providing four increasing, qualitative levels intended to cover a wide range of potential applications and environments.', ""The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is a federal law that required the creation of national standards to protect sensitive patient health information from being disclosed without the patient's consent or knowledge."", 'The HITRUST CSF certification - when attained in conjunction with the industry-specific EHNAC accreditation - demonstrates to business partners and prospects your commitment to the highest standards of data privacy and security.', ""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'ISO 9001 sets out the criteria for a quality management system. This standard is based on a number of quality management principles including a strong customer focus, the motivation and implication of top management, the process approach and continual improvement.', ""ISO/IEC 20000 is the international ITSM (IT service management) standard. It enables IT departments to ensure that their ITSM processes are aligned with the business's needs and international best practices."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""System and Organization Controls 1, or SOC 1, aims to control objectives within a SOC 1 process area and documents internal controls relevant to an audit of a user entity's financial statements."", 'SOC 2 is an auditing procedure that ensures your service providers securely manage your data to protect the interests of your organization and the privacy of its clients.', ""A report that outlines information related to a service organization's internal controls for security, availability, processing integrity, confidentiality and privacy.""]",Canada
Vaughan Data Center,"Toronto, ON, Canada",/zenlayer-yyz1-toronto,"Zenlayer YYZ1 Toronto Data Center is located at 27 Buttermill Ave., Vaughan, Concord, Vaughan, Ontario L4K 3X1, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 97 data center locations within 50 miles of this facility. Certifications for this location include ISO 27001, SOC 2 Type 2.",+1 866-417-8330,Inactive,Inactive,Inactive,Active,0 colocation products,9.85 miles to nearest airport,,,,"['ISO 27001', 'SOC 2 Type 2']","[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
Clegg Partner Site - Toronto Data Center,"105 Clegg Rd, Markham, ON, Canada",/estruxture-tor-4-toronto,"eStruxture TOR-4 Toronto Data Center is located at 20 Pullman Court, Scarborough, ON, Canada. The data center is 40000 sqft. The gross colocation space is not available for this data center. It has access to 10.0 MW of power. We found 96 data center locations within 50 miles of this facility. Certifications for this location include ISO 27001, PCI DSS, SOC 2 Type 2.",+1 844-366-1200,Inactive,Inactive,Active,Active,0 colocation products,,40000 sqft total space,,10.0 MW total power,"['ISO 27001', 'PCI DSS', 'SOC 2 Type 2']","[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
VAN3 Vancouver Data Center,"2828 Natal Street, Vancouver, BC, Canada",/leaseweb-montreal-mtl-03-mcl,"LeaseWeb Montreal MTL-03(MCL) Data Center is located at Boulevard Couture, Saint-Leonard, Montréal, Québec H1P 1A8, Canada. The data center is 17000 sqft. There is a total of 2393 sqft in raised floor space for colocation. No power information has been offered for this location. We found 50 data center locations within 50 miles of this facility. Certifications for this location include PCI DSS, SOC 2 Type 2.",+1 877-881-6530,Inactive,Active,Inactive,Inactive,0 colocation products,257.87 miles to nearest airport,17000 sqft total space,2393 sqft colocation space,,"['PCI DSS', 'SOC 2 Type 2']","['The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
Edmonton 103 St North,"10032 103 St NW, Edmonton, AB, Canada",/compass-compass-etobicoke,"Compass Datacenters Compass Etobicoke is located at 77 Fima Crescent #75, Etobicoke, ON M8W 3R1, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 99 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 844-823-6300,Inactive,Inactive,Inactive,Inactive,0 colocation products,7.33 miles to nearest airport,,,,[nan],[nan],Canada
MTL2 Montreal Data Center,"Edifice 3000 Rene Levesque, Boulevard René Lévesque, Verdun, QC, Canada",/megaport-q9-100-wellington,"Megaport Q9 100 Wellington Data Center is located at 100 Wellington Street West, Toronto, ON, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 98 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 877-857-4410,Inactive,Inactive,Inactive,Active,0 colocation products,223.7 miles to nearest airport,,,,[nan],[nan],Canada
"TOR05 Toronto, Canada","Toronto, ON, Canada",/365-ca3-vancouver,"365 Data Centers CA3 Vancouver Data Center is located at 2828 Natal Street, Vancouver, British Columbia, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 21 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 833-538-1100,Inactive,Active,Inactive,Inactive,0 colocation products,7.99 miles to nearest airport,,,,[nan],[nan],Canada
Kelowna Mississauga Data Center,"Kelowna, BC, Canada",/hive-montreal,"Hive Data Center Montreal Data Center is located at 2800 Trans-Canada Hwy, Montréal, QC H9R 1B1, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 50 data center locations within 50 miles of this facility. Certifications for this location include ISO 27001, PCI DSS, SOC 2 Type 2.",+1 866-351-0670,Inactive,Inactive,Inactive,Active,0 colocation products,256.01 miles to nearest airport,,,,"['ISO 27001', 'PCI DSS', 'SOC 2 Type 2']","[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
TOR1 Toronto Data Center,"151 Front Street West, Toronto, ON, Canada",/365-ca1-toronto,"365 Data Centers CA1 Toronto Data Center is located at 45 Parliament St, Toronto, Ontario, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 98 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 833-538-1100,Inactive,Inactive,Active,Inactive,0 colocation products,2.27 miles to nearest airport,,,,[nan],[nan],Canada
TOR1 Data Center,"17 Vondrau Dr, Cambridge, ON N3E 1B8, Canada",/synoptek-saint-john,"Synoptek Saint John Data Center is located at 14 King Street suite 200, Saint John, NB E2L 1G2, Canada. The data center is 1000 sqft. The gross colocation space is not available for this data center. It has access to 10.0 MW of power. We found 3 data center locations within 50 miles of this facility. Certifications for this location include HIPAA, PCI DSS, SOC 2.",+1 866-445-9110,Inactive,Inactive,Inactive,Active,0 colocation products,9.19 miles to nearest airport,1000 sqft total space,,10.0 MW total power,"['HIPAA', 'PCI DSS', 'SOC 2']","[""The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is a federal law that required the creation of national standards to protect sensitive patient health information from being disclosed without the patient's consent or knowledge."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', 'SOC 2 is an auditing procedure that ensures your service providers securely manage your data to protect the interests of your organization and the privacy of its clients.']",Canada
Toronto Data Centre,"35 John Street suite 9f 101, Toronto, Ontario M5V 3G6, Canada",/oracle-canada-southeast-ca-montreal-1,"Oracle Canada Southeast ca-montreal-1 is located at Montreal, QC, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 50 data center locations within 50 miles of this facility. Certifications for this location include FedRAMP, FIPS-140, HIPAA, ISO 27001, ISO 9001, ISO/IEC 20000, PCI DSS, SOC 1, SOC 2, SOC 3.",+1 833-456-7700,Inactive,Active,Inactive,Inactive,0 colocation products,251.04 miles to nearest airport,,,,"['FedRAMP', 'FIPS-140', 'HIPAA', 'ISO 27001', 'ISO 9001', 'ISO/IEC 20000', 'PCI DSS', 'SOC 1', 'SOC 2', 'SOC 3']","['The Federal Risk and Authorization Management Program (FedRAMP) is a government-wide program that provides a standardized approach to security assessment, authorization, and continuous monitoring for cloud products and services.', 'This Federal Information Processing Standard (140-2) specifies the security requirements that will be satisfied by a cryptographic module, providing four increasing, qualitative levels intended to cover a wide range of potential applications and environments.', ""The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is a federal law that required the creation of national standards to protect sensitive patient health information from being disclosed without the patient's consent or knowledge."", ""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'ISO 9001 sets out the criteria for a quality management system. This standard is based on a number of quality management principles including a strong customer focus, the motivation and implication of top management, the process approach and continual improvement.', ""ISO/IEC 20000 is the international ITSM (IT service management) standard. It enables IT departments to ensure that their ITSM processes are aligned with the business's needs and international best practices."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""System and Organization Controls 1, or SOC 1, aims to control objectives within a SOC 1 process area and documents internal controls relevant to an audit of a user entity's financial statements."", 'SOC 2 is an auditing procedure that ensures your service providers securely manage your data to protect the interests of your organization and the privacy of its clients.', ""A report that outlines information related to a service organization's internal controls for security, availability, processing integrity, confidentiality and privacy.""]",Canada
Montreal MTL-02(MNE) Data Center,"7207 Boulevard Newman, LaSalle, QC H8N 2K3, Canada",/estruxture-van-3-vancouver,"eStruxture VAN-3 Vancouver Data Center is located at 4590 Canada Way, Burnaby, BC, Canada. The data center is 54000 sqft. There is a total of 25000 sqft in raised floor space for colocation. It has access to 10.0 MW of power. We found 21 data center locations within 50 miles of this facility. Certifications for this location include ISO 27001, PCI DSS, SOC 2 Type 2.",+1 844-366-1200,Inactive,Active,Inactive,Inactive,0 colocation products,128.63 miles to nearest airport,54000 sqft total space,25000 sqft colocation space,10.0 MW total power,"['ISO 27001', 'PCI DSS', 'SOC 2 Type 2']","[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
St John's Allandale Rd Data Center,"Allandale Rd near Confed Bldg, St. John's, NL, Canada",/opti9-technologies-canada,"Opti9 Technologies Canada Data Center is located at 1050 Morrison Dr suite 204, Ottawa, ON K2H 8K7, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 4 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 844-902-4100,Inactive,Inactive,Inactive,Inactive,0 colocation products,6.43 miles to nearest airport,,,,[nan],[nan],Canada
CAL-1 Calgary Data Center,"7007 54th St SE, Calgary, AB, Canada",/ovh-bhs1,"OVHCloud BHS1 Data Center is located at 50 Rue de l'Aluminerie, Beauharnois, QC J6N 0C2, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 51 data center locations within 50 miles of this facility. Certifications for this location include HIPAA, HITECH, ISO 14001, ISO 27001, ISO 50001, PCI DSS, SOC 1, SOC 2, SOC 2 Type 2, SOC 3, SSAE 16 Type 1.",+1 833-476-4400,Inactive,Inactive,Active,Active,0 colocation products,248.55 miles to nearest airport,,,,"['HIPAA', 'HITECH', 'ISO 14001', 'ISO 27001', 'ISO 50001', 'PCI DSS', 'SOC 1', 'SOC 2', 'SOC 2 Type 2', 'SOC 3', 'SSAE 16 Type 1']","[""The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is a federal law that required the creation of national standards to protect sensitive patient health information from being disclosed without the patient's consent or knowledge."", ""The Health Information Technology for Economic and Clinical Health (HITECH) Act of 2009 provides HHS with the authority to establish programs to improve health care quality, safety, and efficiency through the promotion of health IT, including electronic health records and private and secure electronic health information exchange. Learn more about select portions of the HITECH Act that relate to ONC's work"", 'ISO 14001 is an internationally agreed standard that sets out the requirements for an environmental management system.', ""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'ISO 50001 is based on the management system model of continual improvement also used for other well-known standards such as ISO 9001 or ISO 14001. This makes it easier for organizations to integrate energy management into their overall efforts to improve quality and environmental management.', 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""System and Organization Controls 1, or SOC 1, aims to control objectives within a SOC 1 process area and documents internal controls relevant to an audit of a user entity's financial statements."", 'SOC 2 is an auditing procedure that ensures your service providers securely manage your data to protect the interests of your organization and the privacy of its clients.', ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time."", ""A report that outlines information related to a service organization's internal controls for security, availability, processing integrity, confidentiality and privacy."", 'The SSAE 16 audit will result in a Service Organization Control (SOC) 1 report.']",Canada
Brampton Data Centre,"Brampton, ON, Canada",/zenlayer-ylw1-kelowna,"Zenlayer YLW1 Kelowna Data Center is located at Hut 8 Data Centre (Kelowna), 2130 Leckie Pl #200, Kelowna, BC V1Y 7W7, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 1 data center location within 50 miles of this facility. Certifications for this location include ISO 27001, SOC 2 Type 2.",+1 866-417-8330,Active,Inactive,Inactive,Inactive,0 colocation products,5.68 miles to nearest airport,,,,"['ISO 27001', 'SOC 2 Type 2']","[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
Vancouver Data Center,"Vancouver, BC, Canada",/ibm-mon01-montreal-canada,"IBM Cloud MON01 Montreal, Canada is located at Montreal, QC, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 50 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 877-884-5650,Inactive,Active,Inactive,Inactive,0 colocation products,251.04 miles to nearest airport,,,,[nan],[nan],Canada
Mississauga Data Center,"1800 Argentia Road, Mississauga, ON, Canada",/estruxture-tor-3-toronto,"eStruxture TOR-3 Toronto Data Center is located at 431 Horner Avenue, Etobicoke, ON, Canada. The data center is 40000 sqft. The gross colocation space is not available for this data center. It has access to 5.0 MW of power. We found 99 data center locations within 50 miles of this facility. Certifications for this location include ISO 27001, PCI DSS, SOC 2 Type 2.",+1 844-366-1200,Inactive,Inactive,Active,Active,0 colocation products,,40000 sqft total space,,5.0 MW total power,"['ISO 27001', 'PCI DSS', 'SOC 2 Type 2']","[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
MTL6 Montreal Data Center,"2341 Boulevard Alfred Nobel, Montréal, Saint-Laurent, QC, Canada",/ovh-bhs5,"OVHCloud BHS5 Data Center is located at 50 Rue de l'Aluminerie, Beauharnois, QC J6N 0C2, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 51 data center locations within 50 miles of this facility. Certifications for this location include HIPAA, HITECH, ISO 14001, ISO 27001, ISO 50001, PCI DSS, SOC 1, SOC 2, SOC 3.",+1 833-476-4400,Inactive,Active,Active,Inactive,0 colocation products,248.55 miles to nearest airport,,,,"['HIPAA', 'HITECH', 'ISO 14001', 'ISO 27001', 'ISO 50001', 'PCI DSS', 'SOC 1', 'SOC 2', 'SOC 3']","[""The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is a federal law that required the creation of national standards to protect sensitive patient health information from being disclosed without the patient's consent or knowledge."", ""The Health Information Technology for Economic and Clinical Health (HITECH) Act of 2009 provides HHS with the authority to establish programs to improve health care quality, safety, and efficiency through the promotion of health IT, including electronic health records and private and secure electronic health information exchange. Learn more about select portions of the HITECH Act that relate to ONC's work"", 'ISO 14001 is an internationally agreed standard that sets out the requirements for an environmental management system.', ""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'ISO 50001 is based on the management system model of continual improvement also used for other well-known standards such as ISO 9001 or ISO 14001. This makes it easier for organizations to integrate energy management into their overall efforts to improve quality and environmental management.', 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""System and Organization Controls 1, or SOC 1, aims to control objectives within a SOC 1 process area and documents internal controls relevant to an audit of a user entity's financial statements."", 'SOC 2 is an auditing procedure that ensures your service providers securely manage your data to protect the interests of your organization and the privacy of its clients.', ""A report that outlines information related to a service organization's internal controls for security, availability, processing integrity, confidentiality and privacy.""]",Canada
Root Data Center - MTL R2 Data Center,"19701 Rue Clark, Montreal, QC, Canada",/itel-networks-inc-vancouver-still-creek,"iTel Networks Inc. Vancouver Still Creek Data Center is located at Still Creek Drive, Burnaby, BC, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 21 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 866-353-2050,Inactive,Inactive,Inactive,Active,0 colocation products,129.25 miles to nearest airport,,,,[nan],[nan],Canada
TOR-5 Toronto Data Center,"612 Welham Road, Barrie, ON, Canada",/365-ca2-montreal,"365 Data Centers CA2 Montreal Data Center is located at 1155 Boulevard Robert-Bourassa, Montréal, Québec, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 50 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 833-538-1100,Inactive,Active,Inactive,Inactive,0 colocation products,8.98 miles to nearest airport,,,,[nan],[nan],Canada
Canada Data Center,"3600 Steeles Ave E, Markham, Ontario L3R 9Z7, Canada",/estruxture-van-1-vancouver,"eStruxture VAN-1 Vancouver Data Center is located at 55 E 7th Ave, Vancouver, BC V5T 1M4, Canada. The data center is 10000 sqft. There is a total of 3000 sqft in raised floor space for colocation. It has access to 2.0 MW of power. We found 21 data center locations within 50 miles of this facility. Certifications for this location include SOC 2 Type 1.",+1 844-366-1200,Inactive,Inactive,Active,Active,0 colocation products,130.49 miles to nearest airport,10000 sqft total space,3000 sqft colocation space,2.0 MW total power,['SOC 2 Type 1'],"[""SOC 2 Type 1 compliance evaluates an organization's cybersecurity controls at a single point in time.""]",Canada
MTL-4 Montreal Data Center,"17500 Trans-Canada Highway, Kirkland, QC, Canada",/centerserv-surrey,"CenterServ Surrey Data Center is located at 7404 King George Boulevard, Surrey, BC, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 21 data center locations within 50 miles of this facility. Certifications for this location include HIPAA, PCI DSS, SOC 2.",+1 833-544-2200,Inactive,Inactive,Inactive,Active,0 colocation products,118.69 miles to nearest airport,,,,"['HIPAA', 'PCI DSS', 'SOC 2']","[""The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is a federal law that required the creation of national standards to protect sensitive patient health information from being disclosed without the patient's consent or knowledge."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', 'SOC 2 is an auditing procedure that ensures your service providers securely manage your data to protect the interests of your organization and the privacy of its clients.']",Canada
151 Front St Toronto Data Center,"151 Front St W, Toronto, ON, Canada",/ovh-bhs3,"OVHCloud BHS3 Data Center is located at 50 Rue de l'Aluminerie, Beauharnois, QC J6N 0C2, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 51 data center locations within 50 miles of this facility. Certifications for this location include HIPAA, HITECH, ISO 14001, ISO 27001, ISO 50001, PCI DSS, SOC 1, SOC 2, SOC 3.",+1 833-476-4400,Inactive,Active,Active,Inactive,0 colocation products,248.55 miles to nearest airport,,,,"['HIPAA', 'HITECH', 'ISO 14001', 'ISO 27001', 'ISO 50001', 'PCI DSS', 'SOC 1', 'SOC 2', 'SOC 3']","[""The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is a federal law that required the creation of national standards to protect sensitive patient health information from being disclosed without the patient's consent or knowledge."", ""The Health Information Technology for Economic and Clinical Health (HITECH) Act of 2009 provides HHS with the authority to establish programs to improve health care quality, safety, and efficiency through the promotion of health IT, including electronic health records and private and secure electronic health information exchange. Learn more about select portions of the HITECH Act that relate to ONC's work"", 'ISO 14001 is an internationally agreed standard that sets out the requirements for an environmental management system.', ""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'ISO 50001 is based on the management system model of continual improvement also used for other well-known standards such as ISO 9001 or ISO 14001. This makes it easier for organizations to integrate energy management into their overall efforts to improve quality and environmental management.', 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""System and Organization Controls 1, or SOC 1, aims to control objectives within a SOC 1 process area and documents internal controls relevant to an audit of a user entity's financial statements."", 'SOC 2 is an auditing procedure that ensures your service providers securely manage your data to protect the interests of your organization and the privacy of its clients.', ""A report that outlines information related to a service organization's internal controls for security, availability, processing integrity, confidentiality and privacy.""]",Canada
Canada Southeast ca-toronto-1,"Toronto, ON, Canada",/estruxture-van-2-vancouver,"eStruxture VAN-2 Vancouver Data Center is located at 555 West Hastings Street, Vancouver, BC, Canada. The data center is 54000 sqft. There is a total of 35000 sqft in raised floor space for colocation. It has access to 2.0 MW of power. We found 21 data center locations within 50 miles of this facility. Certifications for this location include PCI DSS, SOC 2 Type 2, SSAE 16 Type 1.",+1 844-366-1200,Active,Inactive,Active,Active,0 colocation products,131.74 miles to nearest airport,54000 sqft total space,35000 sqft colocation space,2.0 MW total power,"['PCI DSS', 'SOC 2 Type 2', 'SSAE 16 Type 1']","['The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time."", 'The SSAE 16 audit will result in a Service Organization Control (SOC) 1 report.']",Canada
YYZ1 Toronto Data Center,"27 Buttermill Ave., Vaughan, Concord, Vaughan, Ontario L4K 3X1, Canada",/urbacon-data-centre-solutions-richmond-hill-dc2,"Urbacon Data Centre Solutions Richmond Hill DC2 Data Center is located at 60 Via Renzo Drive, Richmond Hill, ON L4S 0B4, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 96 data center locations within 50 miles of this facility. Certifications for this location include PCI DSS.",+1 866-433-7870,Inactive,Active,Inactive,Inactive,0 colocation products,19.13 miles to nearest airport,,,,['PCI DSS'],['The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.'],Canada
TOR-4 Toronto Data Center,"20 Pullman Court, Scarborough, ON, Canada",/estruxture-mtl-1-montreal,"eStruxture MTL-1 Montreal Data Center is located at 800 Rue du Square-Victoria, Montreal, QC, Canada. The data center is 25000 sqft. The gross colocation space is not available for this data center. It has access to 5.0 MW of power. We found 50 data center locations within 50 miles of this facility. Certifications for this location include SOC 2 Type 2.",+1 844-366-1200,Inactive,Inactive,Active,Active,0 colocation products,251.04 miles to nearest airport,25000 sqft total space,,5.0 MW total power,['SOC 2 Type 2'],"[""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
